variant,scenario,round,n,vp_auc_mean,persona_alignment_mean,invalid_primitive_rate_mean,failure_recurrence_mean
Heuristic,betrayal_memory,1,120,0.3145,0.5635,0.0195,0.4023
Heuristic,distant_victory_threat,1,120,0.3030,0.5631,0.0203,0.4227
Heuristic,expansion_race,1,120,0.3297,0.5642,0.0214,0.3900
Heuristic,personality_conflict,1,120,0.3033,0.5648,0.0207,0.4211
Heuristic,resource_bottleneck,1,120,0.3002,0.5607,0.0195,0.4119
Heuristic,two_front_war,1,120,0.2589,0.5643,0.0202,0.4466
LLM-Episodic,betrayal_memory,1,120,0.5071,0.6799,0.0458,0.2339
LLM-Episodic,distant_victory_threat,1,120,0.4869,0.6856,0.0457,0.2554
LLM-Episodic,expansion_race,1,120,0.5041,0.6835,0.0449,0.2198
LLM-Episodic,personality_conflict,1,120,0.4883,0.6891,0.0457,0.2459
LLM-Episodic,resource_bottleneck,1,120,0.4675,0.6832,0.0451,0.2515
LLM-Episodic,two_front_war,1,120,0.4355,0.6805,0.0448,0.2725
LLM-NoPersona,betrayal_memory,1,120,0.4183,0.6281,0.0498,0.3033
LLM-NoPersona,distant_victory_threat,1,120,0.4261,0.6213,0.0503,0.3146
LLM-NoPersona,expansion_race,1,120,0.4359,0.6253,0.0496,0.2883
LLM-NoPersona,personality_conflict,1,120,0.4064,0.5275,0.0508,0.3196
LLM-NoPersona,resource_bottleneck,1,120,0.4068,0.6204,0.0508,0.3110
LLM-NoPersona,two_front_war,1,120,0.3662,0.6256,0.0500,0.3439
PPA-Full,betrayal_memory,1,120,0.6568,0.8620,0.0212,0.1195
PPA-Full,betrayal_memory,2,120,0.7247,0.9022,0.0173,0.0018
PPA-Full,distant_victory_threat,1,120,0.6288,0.8634,0.0217,0.1456
PPA-Full,distant_victory_threat,2,120,0.6943,0.9012,0.0180,0.0097
PPA-Full,expansion_race,1,120,0.6422,0.8621,0.0223,0.1128
PPA-Full,expansion_race,2,120,0.7023,0.8973,0.0174,0.0009
PPA-Full,personality_conflict,1,120,0.6339,0.8637,0.0219,0.1365
PPA-Full,personality_conflict,2,120,0.7015,0.8972,0.0178,0.0067
PPA-Full,resource_bottleneck,1,120,0.6124,0.8611,0.0226,0.1387
PPA-Full,resource_bottleneck,2,120,0.6661,0.8956,0.0189,0.0064
PPA-Full,two_front_war,1,120,0.5704,0.8613,0.0226,0.1652
PPA-Full,two_front_war,2,120,0.6281,0.9006,0.0169,0.0214
PPA-NoOffline,betrayal_memory,1,120,0.6124,0.8356,0.0245,0.1487
PPA-NoOffline,distant_victory_threat,1,120,0.5927,0.8320,0.0238,0.1730
PPA-NoOffline,expansion_race,1,120,0.5997,0.8402,0.0238,0.1379
PPA-NoOffline,personality_conflict,1,120,0.5903,0.8354,0.0238,0.1616
PPA-NoOffline,resource_bottleneck,1,120,0.5648,0.8283,0.0242,0.1646
PPA-NoOffline,two_front_war,1,120,0.5349,0.8385,0.0245,0.1965
